font_size,font_is_bold,norm_x0,norm_y0,word_count,char_count,uppercase_ratio,ends_with_punctuation,numbering_pattern,node_degree,avg_neighbor_distance,font_size_ratio,bold_vs_neighbors,space_above,indentation_vs_below,page_idx,node_idx,text_snippet,,,,,label
9.960000038,0,0.240031024,0.388097358,2,246,0,1,0,7,54.98427955,1,0,17.63916016,20.16900635,4,6,..................................................,,,,,body
9.960000038,0,0.239054561,0.424466451,1,138,0,1,0,5,29.89772585,1,0,28.80432129,-65.39736938,4,7,..................................................,,,,,body
9.960000038,0,0.272986917,0.446738118,2,229,0,1,0,6,157.3751136,1.070967742,0,17.63916016,-90.48399353,4,8,..................................................,,,,,body
10.2514286,0,0.121607849,0.048770471,11,96,0.104166667,0,0,5,120.9449207,0.918586789,0,0,-3.480003357,4,9,International ,,,,,body
9.960000038,0,0.806450638,0.077861352,1,5,0.2,0,0,4,166.3168611,1,0,0,-336.2107544,4,10,Board ,,,,,body
15.96000004,0,0.115921569,0.137545711,3,17,0.117647059,0,0,4,173.1752613,1.590773172,0,70.30998993,-3.05E-05,4,11,Table of Contents ,,,,,heading
9.960000038,0,0.115921569,0.182735096,3,18,0.111111111,0,0,7,64.28005273,0.917230492,0,35.78999329,-3.05E-05,4,12,Revision History ,,,,,body
9.960000038,0,0.115921519,0.204704978,4,19,0.105263158,0,0,7,62.40594887,0.917230492,0,17.40014648,0,4,13,Table of Contents ,,,,,body
9.960000038,0,0.115921519,0.226825753,8,52,0.076923077,0,0,7,58.27511232,0.920760698,0,17.51965332,9.959991455,4,14,1,,,,,body
9.960000038,0,0.115921519,0.248946527,9,60,0.1,0,0,5,45.04952838,1,0,17.51965332,3.05E-05,4,15,2,,,,,body
9.960000038,0,0.132196015,0.271218194,27,164,0.091463415,0,1,4,52.24062902,1,0,17.63916016,-9.959991455,4,16,2.1,,,,,body
9.960000038,0,0.115937775,0.363964466,11,71,0.098591549,0,0,5,45.91603777,1,0,73.45504761,-0.009918213,4,17,3,,,,,body
9.960000038,0,0.132196115,0.388097358,6,38,0.078947368,0,1,5,31.08641398,1,0,19.11325073,0,4,18,3.1,,,,,body
9.960000038,0,0.115921569,0.424466451,3,16,0.0625,0,0,8,127.9439329,1.05229794,0,28.80432129,5.63999939,4,19,4,,,,,body
9.960000038,0,0.132196115,0.446738118,8,47,0.085106383,0,1,6,151.7642813,1.070967742,0,17.63916016,-4.320022583,4,20,4.1,,,,,body
9.960000038,0,0.125165553,0.907463613,9,38,0.078947368,0,0,4,315.4203948,1.110367894,0,364.8945923,-5.657318115,4,21,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,355.4185516,0.602409636,0,18.17883301,0,4,22,© International Software Testing Qualifications Bo,,,,,body
10.2514286,0,0.121607849,0.048770471,11,96,0.104166667,0,0,5,155.6442728,0.918586789,0,0,419.1237869,5,0,International ,,,,,body
9.960000038,0,0.806450638,0.077861352,1,5,0.2,0,0,4,233.4663649,0.992738146,0,23.03997803,-422.6037903,5,1,Board ,,,,,body
15.96000004,0,0.115921569,0.137545711,1,16,0.0625,0,0,4,173.9713029,1.590773172,0,70.30998993,0,5,2,Acknowledgements ,,,,,heading
9.960000038,0,0.115921569,0.182886605,18,129,0.07751938,1,0,6,117.5207966,0.904749546,0,35.9099884,0,5,3,This document was produced by a team from the Inte,,,,,body
9.960000038,0,0.115921569,0.226373538,17,104,0.048076923,1,0,7,118.8852938,0.917230492,0,34.44165039,0,5,4,The Agile Extension team thanks the review team an,,,,,body
9.960000038,0,0.115921569,0.255461259,53,384,0.1015625,1,0,8,132.2137122,0.926819542,0,23.03747559,-3.05E-05,5,5,At the time the Foundation Level Agile Extension S,,,,,body
9.960000038,0,0.115921569,0.328086237,24,165,0.127272727,1,0,6,109.4365192,1,0,57.51898193,-3.05E-05,5,6,"Authors: Rex Black, Anders Claesson, Gerry Coleman",,,,,body
9.960000038,0,0.115921569,0.371573207,41,340,0.120588235,1,0,7,199.0729868,1.060218978,0,34.44168091,5.63999939,5,7,"Internal Reviewers: Mette Bruhn-Pedersen, Christop",,,,,body
9.960000038,0,0.115921519,0.444160461,141,991,0.120080727,1,0,6,196.4590064,1.070967742,0,57.48910522,5.640029907,5,8,"The team thanks also the following persons, from t",,,,,body
9.960000038,0,0.115921519,0.60392295,18,102,0.088235294,1,0,5,199.8723566,1.086387435,0,126.5318909,5.640029907,5,9,This document was formally approved for release by,,,,,body
9.960000038,0,0.125132941,0.90750176,9,38,0.078947368,0,0,4,278.8153619,1.110367894,0,240.4344177,-5.637359619,5,10,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,316.7757218,0.602409636,0,18.14862061,0,5,11,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,204.0128257,0.862711131,0,23.03997803,-359.806015,6,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,4,132.2731269,0.898778359,0,0,-3.480018616,6,1,International ,,,,,body
15.96000004,0,0.115921569,0.155272956,7,50,0.08,0,0,5,117.6995036,1.591543676,0,61.30998993,-1.53E-05,6,2,1. Introduction to the Foundation Level Extensions,,,,,heading
9.960000038,0,0.115921544,0.18470479,33,218,0.041284404,1,0,5,103.1002764,0.887068045,0,23.31001282,0,6,3,This overview document is intended for anyone with,,,,,body
9.960000038,0,0.115921544,0.24274198,42,261,0.053639847,1,0,8,142.5682349,0.926296211,0,45.9654541,0.009979248,6,4,"From time to time, ISTQB will update this document",,,,,body
9.960000038,0,0.115921544,0.300967823,107,647,0.057187017,1,0,6,123.9439524,0.908759124,0,46.11486816,18.00770569,6,5,The ISTQB Foundation and Advanced Level syllabi ha,,,,,body
9.960000038,0,0.115921581,0.41705461,9,68,0.058823529,0,0,6,209.4680616,1.070967742,0,91.94073486,5.63999176,6,6,The following Foundation Level Extension syllabus ,,,,,body
9.960000038,0,0.1453459,0.430648996,3,14,0.142857143,0,0,6,253.8289974,1.070967742,0,10.76675415,-12.36769104,6,7, ,,,,,body
9.960000038,0,0.11593785,0.461447051,62,420,0.035714286,1,0,6,216.2688576,1.070967742,0,24.39205933,5.6300354,6,8,"In this document, each Foundation Level Extension ",,,,,body
9.960000038,0,0.125149222,0.907483958,9,38,0.078947368,0,0,4,325.2868118,1.110367894,0,353.2612305,12.36036682,6,9,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,336.0725944,0.602409636,0,18.16271973,0,6,10,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,205.1293312,0.862711131,0,23.03997803,-359.8059998,7,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,4,142.9753169,0.898778359,0,0,-3.480003357,7,1,International ,,,,,body
15.96000004,0,0.115921569,0.155272956,8,58,0.103448276,0,0,5,121.0171103,1.471781631,0,61.30998993,0,7,2,2. Introduction to Foundation Level Agile Tester E,,,,,heading
9.960000038,0,0.115921569,0.182843565,70,452,0.024336283,1,0,6,123.7409142,0.851524652,0,21.83592224,0,7,3,The certification for Foundation Level Extension –,,,,,body
14.03999996,0,0.115921569,0.274436604,3,21,0.095238095,0,1,4,175.8062092,1.225130883,0,72.54168701,17.99772644,7,4,2.1 Intended Audience ,,,,,heading
9.960000038,0,0.115921569,0.302275417,16,106,0.056603774,0,0,7,142.4375389,0.869977541,0,22.04833984,0.019927979,7,5,The Foundation Level Extension – Agile Tester qual,,,,,body
9.960000038,0,0.145329619,0.318686822,109,696,0.017241379,1,0,5,119.7938286,0.924276171,0,12.99783325,-17.96784973,7,6,1. Professionals who have achieved in-depth testin,,,,,body
9.960000038,0,0.115954131,0.478424072,25,182,0.005494505,1,0,4,102.761414,1,0,126.5119019,-0.019927979,7,7,These professionals include people who are in role,,,,,body
9.960000038,0,0.115970387,0.520225872,42,304,0.029605263,1,0,5,112.4800893,0.924276171,0,33.10702515,-0.029876709,7,8,This Foundation Level Extension – Agile Tester cer,,,,,body
14.03999996,0,0.115921569,0.611772479,5,28,0.107142857,0,1,4,150.3679834,1.278688519,0,72.50491333,0.019927979,7,9,2.2 Career Paths for Testers ,,,,,heading
9.960000038,0,0.115921569,0.641434641,53,337,0.035608309,1,0,6,116.7301254,0.936090227,0,23.49243164,0,7,10,"Building on the Foundation Level, the Agile Tester",,,,,body
9.960000038,0,0.115954131,0.712198354,20,143,0.146853147,1,0,7,120.8195372,0.895223423,0,56.04486084,5.617431641,7,11,People possessing an ISTQB Foundation Level Extens,,,,,body
14.03999996,0,0.115921569,0.774840692,3,23,0.086956522,0,1,4,143.8956843,1.4054054,0,49.61273193,0.019927979,7,12,2.3 Learning Objectives ,,,,,heading
9.960000038,0,0.115921569,0.804502776,29,186,0.032258065,1,0,6,107.6273725,0.997995994,0,23.49237061,5.63999939,7,13,"In general, the Foundation Level syllabus is exami",,,,,body
9.960000038,0,0.115921569,0.847989708,19,120,0.033333333,1,0,5,100.8773779,1.086387435,0,34.44165039,5.63999939,7,14,"In addition, all Foundation Level syllabus learnin",,,,,body
9.960000038,0,0.125132941,0.907435408,9,38,0.078947368,0,0,4,105.8765164,1.110367894,0,47.08099365,0.002639771,7,15,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,157.4691476,0.546448086,0,18.20117188,0,7,16,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,205.3495727,0.991538079,0,23.03997803,-359.8059998,8,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,4,143.8930324,0.938069218,0,0,-3.480003357,8,1,International ,,,,,body
9.960000038,0,0.115921544,0.13743205,39,254,0.019685039,1,0,6,127.7073579,0.875476123,0,47.17999268,1.53E-05,8,2,"That said, each extension level exam focuses on th",,,,,body
14.03999996,0,0.115921569,0.198224501,3,22,0.090909091,0,1,5,143.1501906,1.294725188,0,48.14762115,-1.53E-05,8,3,2.4 Entry Requirements ,,,,,heading
9.960000038,0,0.115921569,0.226025398,23,148,0.087837838,1,0,8,125.3145258,0.903606262,0,22.01831055,0,8,4,To be able to participate in a Foundation Level Ex,,,,,body
14.03999996,0,0.115921569,0.274133586,5,33,0.090909091,0,1,5,111.6137799,1.302895317,0,38.10168457,0,8,5,2.5 Structure and Course Duration ,,,,,heading
9.960000038,0,0.115921569,0.301972399,19,123,0.06504065,1,0,9,111.3893011,0.95646607,0,22.04833984,0,8,6,The Foundation Level Extension – Agile Tester syll,,,,,body
9.960000038,0,0.115921569,0.347320634,12,67,0.014925373,0,0,6,98.40443218,0.87985866,0,35.915802,141.2660065,8,7,The syllabi must be taught in the following minimu,,,,,body
9.960000038,0,0.346748377,0.380651763,2,13,0.153846154,0,0,6,63.7391997,1,0,26.39825439,-141.2660065,8,8,Syllabus ,,,,,body
9.960000038,0,0.346748377,0.403530545,3,22,0.090909091,0,0,7,156.1860776,1.060218978,0,18.11999512,-135.6260071,8,9,Baseline: Foundation ,,,,,body
9.960000038,0,0.346748377,0.426257817,4,25,0.12,0,0,6,164.8549038,1.070967742,0,18,-135.6260071,8,10,Extension: Agile Tester ,,,,,body
9.960000038,0,0.115921569,0.463530569,18,116,0.051724138,1,0,6,171.7138749,1.070967742,0,29.52001953,5.63999939,8,11,The following figure shows the structure of the Ag,,,,,body
9.960000038,0,0.125137254,0.907433789,9,38,0.078947368,0,0,4,321.0600369,1.110367894,0,351.5713501,135.6260071,8,12,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,354.9307958,0.602409636,0,18.20245361,0,8,13,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,351.7261952,0.900135565,0,23.03997803,-354.1686401,9,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,5,371.0501317,1.031650643,0,0,2.159996033,9,1,International ,,,,,body
14.03999996,0,0.115921569,0.169133543,4,22,0.136363636,0,1,5,377.7438557,1.520138579,0,72.28757477,5.637359619,9,2,2.6 Keeping It Current ,,,,,heading
9.960000038,0,0.115921569,0.198795742,56,371,0.021563342,1,0,5,325.0204372,0.990847595,0,23.49246216,5.63999939,9,3,The software industry changes rapidly. To deal wit,,,,,body
9.960000038,0,0.125132941,0.907452362,9,38,0.078947368,0,0,5,531.1591465,0.990847595,0,561.2560425,-5.637359619,9,4,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,509.9547302,0.542250338,0,18.18774414,0,9,5,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,216.7472267,0.862711131,0,23.03997803,-322.9700012,10,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,4,159.4860426,0.825320514,0,0,-3.480003357,10,1,International ,,,,,body
15.96000004,0,0.115921569,0.148351149,10,68,0.102941176,0,0,5,133.0905519,1.471781631,0,55.82791901,0,10,2,3. Overview of the Foundation Level Extension – Ag,,,,,heading
14.03999996,0,0.115921569,0.237315361,3,21,0.095238095,0,1,5,153.5111019,1.250445308,0,70.45965576,36.83599854,10,3,3.1 Business Outcomes ,,,,,heading
9.960000038,0,0.115921569,0.266977561,21,142,0.056338028,1,0,8,137.7630294,0.884350723,0,23.49246216,-0.009963989,10,4,This section lists the Business Outcomes expected ,,,,,body
9.960000038,0,0.115905288,0.308641029,4,20,0.15,0,0,4,145.8392418,0.907103827,0,32.99746704,0.009963989,10,5,An Agile Tester can… ,,,,,body
9.960000038,0,0.176111109,0.339591132,18,131,0.045801527,1,0,6,110.6362018,0.908759124,0,57.50994873,0,10,6,AFM1 ,,,,,body
9.960000038,0,0.176111109,0.383227531,12,84,0.05952381,1,0,5,65.53388018,1,0,34.56002808,0,10,7,AFM2 ,,,,,body
9.960000038,0,0.176111109,0.414742672,9,64,0.078125,1,0,7,97.01215107,0.944715448,0,24.95999146,0,10,8,AFM3 ,,,,,body
9.960000038,0,0.176111109,0.44640936,12,75,0.066666667,1,0,7,75.00885352,1,0,25.08001709,-36.83602905,10,9,AFM4 ,,,,,body
9.960000038,0,0.176111109,0.47807601,9,57,0.087719298,1,0,8,111.4493719,0.951289399,0,25.07998657,-36.83599854,10,10,AFM5 ,,,,,body
9.960000038,0,0.176111109,0.509767937,18,151,0.026490066,1,0,4,64.05271579,1,0,25.1000061,-36.83602905,10,11,AFM6 ,,,,,body
9.960000038,0,0.176111109,0.553252789,15,106,0.037735849,1,0,5,93.90643929,1,0,34.44000244,-18.83827972,10,12,AFM7 ,,,,,body
9.960000038,0,0.115921519,0.610330948,27,173,0.046242775,1,0,8,141.0344234,0.951289399,0,45.2059021,5.637390137,10,13,"In general, a Certified Tester Foundation Level – ",,,,,body
14.03999996,0,0.115921569,0.672984653,2,11,0.090909091,0,1,4,164.297716,1.565217382,0,49.62173462,5.63999939,10,14,3.2 Content ,,,,,heading
9.960000038,0,0.115921569,0.702684576,5,37,0.108108108,0,0,5,156.703062,0.997596156,0,23.52233887,5.637359619,10,15,Chapter 1: Agile Software Development ,,,,,body
9.960000038,0,0.145329606,0.716279001,117,752,0.015957447,1,0,5,158.0686032,1.086387435,0,10.76678467,-12.35771942,10,16, ,,,,,body
9.960000038,0,0.125132941,0.907468314,9,39,0.076923077,0,0,4,172.6487678,1.110367894,0,151.421936,-5.637390137,10,17,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,183.9329452,0.546448086,0,18.17510986,0,10,18,© International Software Testing Qualifications Bo,,,,,body
10.2514286,0,0.121607849,0.048770471,11,96,0.104166667,0,0,5,197.3292108,1.029259896,0,0,14.51771545,11,0,International ,,,,,body
9.960000038,0,0.806450638,0.077861352,1,5,0.2,0,0,4,270.2219025,0.992738146,0,23.03997803,-404.6060715,11,1,Board ,,,,,body
9.960000038,0,0.115921569,0.13743205,9,73,0.095890411,0,0,5,179.6026479,0.994182067,0,47.17999268,17.99771881,11,2,"Chapter 2: Fundamental Agile Testing Principles, P",,,,,body
9.960000038,0,0.145329606,0.151026456,147,875,0.017142857,1,0,7,274.2873728,1.055541137,0,10.76676941,-12.35771942,11,3, ,,,,,body
9.960000038,0,0.115921569,0.332193009,8,55,0.109090909,0,0,6,273.3431296,1.065403424,0,143.4839096,5.63999939,11,4,"Chapter 3: Agile Testing Methods, Techniques, and ",,,,,body
9.960000038,0,0.145329606,0.345787395,220,1327,0.012810852,1,0,7,295.8201567,1.055541137,0,10.76675415,-12.35771942,11,5, ,,,,,body
9.960000038,0,0.125132941,0.907508773,9,39,0.076923077,0,0,4,376.8078083,1.110367894,0,444.8833313,12.36035919,11,6,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,401.9493305,0.602409636,0,18.14306641,0,11,7,© International Software Testing Qualifications Bo,,,,,body
9.960000038,0,0.703839869,0.077861352,2,20,0.1,0,0,4,248.0644603,1.021014864,0,23.03997803,-354.4059982,12,0,Qualifications Board ,,,,,body
10.30000003,0,0.121607849,0.048770471,10,81,0.111111111,0,0,4,172.7190138,0.922112802,0,0,-3.480003357,12,1,International ,,,,,body
15.96000004,0,0.115921569,0.155272956,2,13,0.076923077,0,0,5,137.8166655,1.396569831,0,84.34996796,0,12,2,4. References ,,,,,heading
14.03999996,0,0.115921569,0.216406273,2,14,0.071428571,0,1,5,129.1477023,1.195504082,0,48.41758728,5.400001526,12,3,4.1 Trademarks ,,,,,heading
9.960000038,0,0.115921569,0.246068473,12,80,0.0125,0,0,7,133.4415456,0.839393212,0,23.49246216,5.400001526,12,4,The following registered trademarks and service ma,,,,,body
8.800000032,0,0.115921569,0.276560138,12,91,0.10989011,0,0,9,223.6186049,0.790576963,0,24.1493988,5.63999939,12,5,ISTQB® is a registered trademark of the Internatio,,,,,body
14.03999996,0,0.115921569,0.325080525,5,27,0.111111111,0,1,7,220.4380145,1.316014991,0,38.42814636,5.63999939,12,6,4.2 Documents and Web Sites ,,,,,heading
9.960000038,0,0.124745101,0.354591177,24,182,0.120879121,0,0,7,245.0978713,0.958218804,0,23.37243652,0.239997864,12,7,Identifier ,,,,,body
9.960000038,0,0.125137254,0.907433789,9,39,0.076923077,0,0,4,390.2913245,1.026804127,0,437.8513489,-5.63999939,12,8,Version 2014 ,,,,,body
6,0,0.125137254,0.930416685,6,53,0.094339623,0,0,4,407.2006301,0.561272216,0,18.20245361,0,12,9,© International Software Testing Qualifications Bo,,,,,body
